 87  |  MESSIER65      | 169.73309 |  13.09245 | 0.34      |  171.3     |  5.84      |  5.90      | 0.01      | 4.91      | 5.92       | 0.01       | 4.91      | 4.16      | 0.01      | 4.91       | 2.78      | 0.02          | -0.02     | 0.02    | 1.76    |  0.02
 88  |  NGC7213        | 332.31741 | -47.16676 | 0.97      |  174.6     |  5.83      |  6.48      | 0.01      | 3.99      | 6.47       | 0.01       | 2.21      | 4.36      | 0.01      | 2.21       | 2.48      | 0.01          |  0.01     | 0.02    | 2.11    |  0.02
 89  |  IC0356         |  61.94514 |  69.81254 | 0.72      |  103.0     |  5.80      |  5.76      | 0.01      | 4.98      | 5.78       | 0.01       | 4.98      | 3.78      | 0.01      | 4.98       | 1.95      | 0.02          | -0.02     | 0.02    | 2.00    |  0.02
 90  |  NGC1560        |  68.20547 |  71.88394 | 0.22      |  24.4      |  5.79      |  8.59      | 0.01      | 4.51      | 8.75       | 0.01       | 1.56      | 7.71      | 0.04      | 1.56       | 5.55      | 0.04          | -0.16     | 0.02    | 1.04    |  0.05
 91  |  NGC2663        | 131.28387 | -33.79462 | 0.65      |  112.2     |  5.78      |  6.26      | 0.01      | 5.03      | 6.36       | 0.01       | 1.22      | 6.45      | 0.01      | 1.22       | 4.95      | 0.03          | -0.10     | 0.02    |-0.09    |  0.02
 92  |  NGC4216        | 183.97667 |  13.14956 | 0.26      |  20.7      |  5.77      |  6.36      | 0.01      | 4.71      | 6.38       | 0.01       | 4.71      | 4.24      | 0.01      | 4.71       | 2.89      | 0.02          | -0.02     | 0.02    | 2.14    |  0.02
 93  |  NGC1055        |  40.43828 |   0.44376 | 0.30      |  103.8     |  5.69      |  6.76      | 0.01      | 5.69      | 6.64       | 0.01       | 5.69      | 3.08      | 0.01      | 5.69       | 1.32      | 0.01          |  0.12     | 0.02    | 3.56    |  0.02
 94  |  NGC5170        | 202.45326 | -17.96646 | 0.17      |  127.3     |  5.67      |  7.43      | 0.01      | 4.74      | 7.41       | 0.01       | 4.74      | 5.24      | 0.01      | 4.74       | 3.79      | 0.02          |  0.02     | 0.02    | 2.17    |  0.02
 95  |  MESSIER98      | 183.45123 |  14.90056 | 0.28      |  155.7     |  5.64      |  6.71      | 0.01      | 5.64      | 6.67       | 0.01       | 5.64      | 3.83      | 0.01      | 5.64       | 2.21      | 0.02          |  0.04     | 0.02    | 2.84    |  0.02
 96  |  NGC2997        | 146.41144 | -31.19094 | 0.78      |  99.2      |  5.62      |  6.15      | 0.01      | 5.62      | 6.03       | 0.01       | 5.62      | 2.35      | 0.01      | 5.62       | 0.54      | 0.01          |  0.12     | 0.02    | 3.68    |  0.02
 97  |  NGC4125        | 182.02449 |  65.17439 | 0.71      |  83.9      |  5.61      |  6.50      | 0.01      | 4.03      | 6.59       | 0.01       | 1.44      | 6.27      | 0.01      | 1.44       | 5.20      | 0.04          | -0.09     | 0.02    | 0.32    |  0.02
 98  |  NGC7793        | 359.45728 | -32.59102 | 0.62      |  97.9      |  5.60      |  6.52      | 0.01      | 5.60      | 6.43       | 0.01       | 5.60      | 3.21      | 0.01      | 5.60       | 1.55      | 0.01          |  0.09     | 0.02    | 3.22    |  0.02
 99  |  NGC5363        | 209.03012 |   5.25490 | 0.68      |  124.6     |  5.60      |  6.57      | 0.01      | 4.06      | 6.63       | 0.01       | 1.49      | 5.69      | 0.01      | 1.49       | 4.36      | 0.02          | -0.06     | 0.02    | 0.94    |  0.02
 100 |  NGC4217        | 183.96248 |  47.09152 | 0.17      |  49.3      |  5.59      |  7.23      | 0.01      | 4.20      | 7.09       | 0.01       | 4.20      | 3.74      | 0.01      | 4.20       | 2.07      | 0.01          |  0.14     | 0.02    | 3.35    |  0.02
 null|  IC1613         |  16.20089 |   2.11914 | 0.90      |  135.4     |  4.69      |  8.49      | 0.01      | 4.69      | 8.69       | 0.01       | null      | null      | null      | null       | null      | null          | -0.20     | 0.02    | null    |  null
 null|  MESSIER32      |  10.67439 |  40.86511 | 0.86      |  165.8     |  3.62      |  5.02      | 0.01      | 2.95      | 5.07       | 0.01       | 2.95      | 4.42      | 0.01      | 2.95       | 3.61      | 0.04          | -0.05     | 0.02    | 0.65    |  0.02
 null|  UGC05373       | 149.99974 |   5.33153 | 0.75      |  97.0      |  2.89      |  9.76      | 0.01      | 1.76      | 10.04      | 0.02       | null      | null      | null      | 1.76       | 6.69      | 0.35          | -0.28     | 0.03    | null    |  null
 null|  ESO245-007     |  27.77698 | -44.44341 | 0.81      |  11.2      |  2.18      |  11.06     | 0.01      | 2.18      | 11.28      | 0.04       | null      | null      | null      | null       | null      | null          | -0.22     | 0.05    | null    |  null
